X,Y,Z
-0.0008255197,6.809974E-06,0.02654857
-0.000825587,6.809975E-06,0.02654961
-0.0008256544,6.809975E-06,0.02655065
-0.0008257217,6.809975E-06,0.02655169
-0.0008257891,6.809976E-06,0.02655273
-0.0008258565,6.809976E-06,0.02655377
-0.0008259238,6.809976E-06,0.02655481
-0.0008259912,6.809977E-06,0.02655585
-0.0008260585,6.809977E-06,0.02655689
-0.0008261258,6.809977E-06,0.02655793
-0.0008261933,6.809978E-06,0.02655897
-0.0008262606,6.809978E-06,0.02656001
-0.0008263279,6.809978E-06,0.02656105
-0.0008263953,6.809978E-06,0.02656209
-0.0008264626,6.809978E-06,0.02656313
-0.00082653,6.809979E-06,0.02656417
-0.0008265974,6.809979E-06,0.02656521
-0.0008266647,6.809979E-06,0.02656625
-0.0008267321,6.80998E-06,0.02656729
-0.0008267994,6.80998E-06,0.02656833
-0.0008268668,6.80998E-06,0.02656937
-0.0008269341,6.809981E-06,0.02657041
-0.0008270015,6.809981E-06,0.02657145
-0.0008270689,6.809981E-06,0.02657249
-0.0008271362,6.809982E-06,0.02657353
-0.0008272036,6.809982E-06,0.02657457
-0.0008272709,6.809982E-06,0.02657561
-0.0008273383,6.809983E-06,0.02657665
-0.0008274057,6.809983E-06,0.02657769
-0.000827473,6.809983E-06,0.02657872
-0.0008275404,6.809983E-06,0.02657976
-0.0008276077,6.809983E-06,0.0265808
-0.000827675,6.809984E-06,0.02658184
-0.0008277424,6.809984E-06,0.02658288
-0.0008278098,6.809984E-06,0.02658392
-0.0008278771,6.809985E-06,0.02658496
-0.0008279445,6.809985E-06,0.026586
-0.0008280118,6.809985E-06,0.02658704
-0.0008280792,6.809986E-06,0.02658808
-0.0008281465,6.809986E-06,0.02658912
-0.0008282139,6.809986E-06,0.02659016
-0.0008282813,6.809987E-06,0.0265912
-0.0008283486,6.809987E-06,0.02659224
-0.000828416,6.809987E-06,0.02659328
-0.0008284833,6.809988E-06,0.02659432
-0.0008285507,6.809988E-06,0.02659536
-0.0008286181,6.809988E-06,0.0265964
-0.0008286854,6.809988E-06,0.02659744
-0.0008287528,6.809988E-06,0.02659848
-0.0008288201,6.809989E-06,0.02659952
-0.0008288875,6.809989E-06,0.02660056
-0.0008289548,6.809989E-06,0.0266016
-0.0008290222,6.80999E-06,0.02660264
-0.0008290895,6.80999E-06,0.02660368
-0.0008291569,6.80999E-06,0.02660472
-0.0008292242,6.809991E-06,0.02660576
-0.0008292916,6.809991E-06,0.0266068
-0.0008293589,6.809991E-06,0.02660784
-0.0008294263,6.809992E-06,0.02660888
-0.0008294937,6.809992E-06,0.02660991
-0.000829561,6.809992E-06,0.02661095
-0.0008296284,6.809993E-06,0.02661199
-0.0008296957,6.809993E-06,0.02661303
-0.0008297631,6.809993E-06,0.02661407
-0.0008298305,6.809993E-06,0.02661511
-0.0008298978,6.809993E-06,0.02661615
-0.0008299652,6.809994E-06,0.02661719
-0.0008300325,6.809994E-06,0.02661823
-0.0008300999,6.809994E-06,0.02661927
-0.0008301672,6.809995E-06,0.02662031
-0.0008302346,6.809995E-06,0.02662135
-0.000830302,6.809995E-06,0.02662239
-0.0008303693,6.809996E-06,0.02662343
-0.0008304366,6.809996E-06,0.02662447
-0.000830504,6.809996E-06,0.02662551
-0.0008305713,6.809997E-06,0.02662655
-0.0008306387,6.809997E-06,0.02662759
-0.0008307061,6.809997E-06,0.02662863
-0.0008307734,6.809998E-06,0.02662967
-0.0008308408,6.809998E-06,0.02663071
-0.0008309081,6.809998E-06,0.02663175
-0.0008309755,6.809998E-06,0.02663279
-0.0008310429,6.809998E-06,0.02663383
-0.0008311102,6.809999E-06,0.02663487
-0.0008311776,6.809999E-06,0.02663591
-0.0008312449,6.809999E-06,0.02663695
-0.0008313123,6.81E-06,0.02663799
-0.0008313796,6.81E-06,0.02663903
-0.000831447,6.81E-06,0.02664007
-0.0008315144,6.810001E-06,0.0266411
-0.0008315817,6.810001E-06,0.02664215
-0.0008316491,6.810001E-06,0.02664318
-0.0008317164,6.810002E-06,0.02664422
-0.0008317837,6.810002E-06,0.02664526
-0.0008318512,6.810002E-06,0.0266463
-0.0008319185,6.810003E-06,0.02664734
-0.0008319858,6.810003E-06,0.02664838
-0.0008320532,6.810003E-06,0.02664942
-0.0008321205,6.810003E-06,0.02665046
-0.0008321879,6.810004E-06,0.0266515
-0.0008322553,6.810004E-06,0.02665254
-0.0008323226,6.810004E-06,0.02665358
-0.00083239,6.810005E-06,0.02665462
-0.0008324573,6.810005E-06,0.02665566
-0.0008325247,6.810005E-06,0.0266567
-0.000832592,6.810005E-06,0.02665774
-0.0008326594,6.810006E-06,0.02665878
-0.0008327268,6.810006E-06,0.02665982
-0.0008327941,6.810006E-06,0.02666086
-0.0008328615,6.810007E-06,0.0266619
-0.0008329288,6.810007E-06,0.02666294
-0.0008329962,6.810007E-06,0.02666398
-0.0008330636,6.810008E-06,0.02666502
-0.0008331309,6.810008E-06,0.02666606
-0.0008331983,6.810008E-06,0.0266671
-0.0008332656,6.810008E-06,0.02666814
-0.0008333329,6.810009E-06,0.02666918
-0.0008334003,6.810009E-06,0.02667022
-0.0008334677,6.810009E-06,0.02667126
-0.000833535,6.81001E-06,0.0266723
-0.0008336024,6.81001E-06,0.02667334
-0.0008336697,6.81001E-06,0.02667437
-0.0008337371,6.810011E-06,0.02667541
-0.0008338044,6.810011E-06,0.02667645
-0.0008338718,6.810011E-06,0.02667749
-0.0008339392,6.810012E-06,0.02667853
-0.0008340065,6.810012E-06,0.02667957
-0.0008340739,6.810012E-06,0.02668061
-0.0008341412,6.810012E-06,0.02668165
-0.0008342086,6.810013E-06,0.02668269
-0.000834276,6.810013E-06,0.02668373
-0.0008343433,6.810013E-06,0.02668477
-0.0008344107,6.810013E-06,0.02668581
-0.000834478,6.810014E-06,0.02668685
-0.0008345454,6.810014E-06,0.02668789
-0.0008346127,6.810014E-06,0.02668893
-0.0008346801,6.810015E-06,0.02668997
-0.0008347475,6.810015E-06,0.02669101
-0.0008348148,6.810015E-06,0.02669205
-0.0008348821,6.810016E-06,0.02669309
-0.0008349495,6.810016E-06,0.02669413
-0.0008350168,6.810016E-06,0.02669517
-0.0008350842,6.810017E-06,0.02669621
-0.0008351516,6.810017E-06,0.02669725
-0.0008352189,6.810017E-06,0.02669829
-0.0008352863,6.810018E-06,0.02669933
-0.0008353536,6.810018E-06,0.02670037
-0.000835421,6.810018E-06,0.02670141
-0.0008354884,6.810018E-06,0.02670245
-0.0008355557,6.810018E-06,0.02670349
-0.0008356231,6.810019E-06,0.02670453
-0.0008356904,6.810019E-06,0.02670556
-0.0008357578,6.810019E-06,0.0267066
-0.0008358251,6.81002E-06,0.02670765
-0.0008358925,6.81002E-06,0.02670868
-0.0008359599,6.81002E-06,0.02670972
-0.0008360272,6.810021E-06,0.02671076
-0.0008360946,6.810021E-06,0.0267118
-0.0008361619,6.810021E-06,0.02671284
-0.0008362292,6.810022E-06,0.02671388
-0.0008362966,6.810022E-06,0.02671492
-0.000836364,6.810022E-06,0.02671596
-0.0008364313,6.810023E-06,0.026717
-0.0008364987,6.810023E-06,0.02671804
-0.000836566,6.810023E-06,0.02671908
-0.0008366334,6.810023E-06,0.02672012
-0.0008367008,6.810023E-06,0.02672116
-0.0008367681,6.810024E-06,0.0267222
-0.0008368355,6.810024E-06,0.02672324
-0.0008369028,6.810024E-06,0.02672428
-0.0008369702,6.810025E-06,0.02672532
-0.0008370375,6.810025E-06,0.02672636
-0.0008371049,6.810025E-06,0.0267274
-0.0008371723,6.810026E-06,0.02672844
-0.0008372396,6.810026E-06,0.02672948
-0.000837307,6.810026E-06,0.02673052
-0.0008373743,6.810027E-06,0.02673156
-0.0008374417,6.810027E-06,0.0267326
-0.0008375091,6.810027E-06,0.02673364
-0.0008375764,6.810028E-06,0.02673468
-0.0008376437,6.810028E-06,0.02673572
-0.0008377111,6.810028E-06,0.02673675
-0.0008377784,6.810028E-06,0.0267378
-0.0008378458,6.810028E-06,0.02673884
-0.0008379132,6.810029E-06,0.02673987
-0.0008379805,6.810029E-06,0.02674091
-0.0008380479,6.810029E-06,0.02674195
-0.0008381152,6.81003E-06,0.02674299
-0.0008381826,6.81003E-06,0.02674403
-0.0008382499,6.81003E-06,0.02674507
-0.0008383173,6.810031E-06,0.02674611
-0.0008383847,6.810031E-06,0.02674715
-0.000838452,6.810031E-06,0.02674819
-0.0008385194,6.810032E-06,0.02674923
-0.0008385867,6.810032E-06,0.02675027
-0.0008386541,6.810032E-06,0.02675131
-0.0008387215,6.810033E-06,0.02675235
-0.0008387888,6.810033E-06,0.02675339
-0.0008388562,6.810033E-06,0.02675443
-0.0008389235,6.810033E-06,0.02675547
-0.0008389908,6.810033E-06,0.02675651
-0.0008390582,6.810034E-06,0.02675755
-0.0008391256,6.810034E-06,0.02675859
-0.0008391929,6.810034E-06,0.02675963
-0.0008392603,6.810035E-06,0.02676067
-0.0008393276,6.810035E-06,0.02676171
-0.000839395,6.810035E-06,0.02676275
-0.0008394623,6.810036E-06,0.02676379
-0.0008395297,6.810036E-06,0.02676483
-0.0008395971,6.810036E-06,0.02676587
-0.0008396644,6.810037E-06,0.02676691
-0.0008397318,6.810037E-06,0.02676795
-0.0008397991,6.810037E-06,0.02676899
-0.0008398665,6.810038E-06,0.02677003
-0.0008399339,6.810038E-06,0.02677106
-0.0008400012,6.810038E-06,0.0267721
-0.0008400686,6.810038E-06,0.02677315
-0.0008401359,6.810038E-06,0.02677418
-0.0008402033,6.810039E-06,0.02677522
-0.0008402706,6.810039E-06,0.02677626
-0.000840338,6.810039E-06,0.0267773
-0.0008404054,6.81004E-06,0.02677834
-0.0008404727,6.81004E-06,0.02677938
-0.00084054,6.81004E-06,0.02678042
-0.0008406074,6.810041E-06,0.02678146
-0.0008406747,6.810041E-06,0.0267825
-0.0008407421,6.810041E-06,0.02678354
-0.0008408095,6.810042E-06,0.02678458
-0.0008408768,6.810042E-06,0.02678562
-0.0008409442,6.810042E-06,0.02678666
-0.0008410115,6.810043E-06,0.0267877
-0.0008410789,6.810043E-06,0.02678874
-0.0008411463,6.810043E-06,0.02678978
-0.0008412136,6.810043E-06,0.02679082
-0.000841281,6.810044E-06,0.02679186
-0.0008413483,6.810044E-06,0.0267929
-0.0008414157,6.810044E-06,0.02679394
-0.000841483,6.810045E-06,0.02679498
-0.0008415504,6.810045E-06,0.02679602
-0.0008416178,6.810045E-06,0.02679706
-0.0008416851,6.810045E-06,0.0267981
-0.0008417525,6.810046E-06,0.02679914
-0.0008418198,6.810046E-06,0.02680018
-0.0008418871,6.810046E-06,0.02680122
-0.0008419545,6.810047E-06,0.02680225
-0.0008420219,6.810047E-06,0.0268033
-0.0008420892,6.810047E-06,0.02680434
-0.0008421566,6.810048E-06,0.02680537
-0.0008422239,6.810048E-06,0.02680641
-0.0008422913,6.810048E-06,0.02680745
-0.0008423587,6.810048E-06,0.02680849
-0.000842426,6.810049E-06,0.02680953
-0.0008424934,6.810049E-06,0.02681057
-0.0008425607,6.810049E-06,0.02681161
-0.0008426281,6.81005E-06,0.02681265
-0.0008426954,6.81005E-06,0.02681369
-0.0008427628,6.81005E-06,0.02681473
-0.0008428302,6.810051E-06,0.02681577
-0.0008428975,6.810051E-06,0.02681681
-0.0008429649,6.810051E-06,0.02681785
-0.0008430322,6.810052E-06,0.02681889
-0.0008430996,6.810052E-06,0.02681993
-0.0008431669,6.810052E-06,0.02682097
-0.0008432343,6.810052E-06,0.02682201
-0.0008433016,6.810053E-06,0.02682305
-0.000843369,6.810053E-06,0.02682409
-0.0008434363,6.810053E-06,0.02682513
-0.0008435037,6.810053E-06,0.02682617
-0.000843571,6.810054E-06,0.02682721
-0.0008436384,6.810054E-06,0.02682825
-0.0008437058,6.810054E-06,0.02682929
-0.0008437731,6.810055E-06,0.02683033
-0.0008438405,6.810055E-06,0.02683137
-0.0008439078,6.810055E-06,0.02683241
-0.0008439752,6.810056E-06,0.02683345
-0.0008440426,6.810056E-06,0.02683449
-0.0008441099,6.810056E-06,0.02683553
-0.0008441773,6.810057E-06,0.02683656
-0.0008442446,6.810057E-06,0.0268376
-0.000844312,6.810057E-06,0.02683865
-0.0008443793,6.810058E-06,0.02683968
-0.0008444467,6.810058E-06,0.02684072
-0.0008445141,6.810058E-06,0.02684176
-0.0008445814,6.810058E-06,0.0268428
-0.0008446487,6.810058E-06,0.02684384
-0.0008447161,6.810059E-06,0.02684488
-0.0008447834,6.810059E-06,0.02684592
-0.0008448508,6.810059E-06,0.02684696
-0.0008449182,6.81006E-06,0.026848
-0.0008449855,6.81006E-06,0.02684904
-0.0008450529,6.81006E-06,0.02685008
-0.0008451202,6.810061E-06,0.02685112
-0.0008451876,6.810061E-06,0.02685216
-0.000845255,6.810061E-06,0.0268532
-0.0008453223,6.810062E-06,0.02685424
-0.0008453897,6.810062E-06,0.02685528
-0.000845457,6.810062E-06,0.02685632
-0.0008455244,6.810063E-06,0.02685736
-0.0008455917,6.810063E-06,0.0268584
-0.0008456591,6.810063E-06,0.02685944
-0.0008457265,6.810063E-06,0.02686048
-0.0008457938,6.810063E-06,0.02686152
-0.0008458612,6.810064E-06,0.02686256
-0.0008459285,6.810064E-06,0.0268636
-0.0008459958,6.810064E-06,0.02686464
-0.0008460633,6.810065E-06,0.02686568
-0.0008461306,6.810065E-06,0.02686672
-0.0008461979,6.810065E-06,0.02686775
-0.0008462653,6.810066E-06,0.0268688
-0.0008463326,6.810066E-06,0.02686984
-0.0008464,6.810066E-06,0.02687087
-0.0008464674,6.810067E-06,0.02687191
-0.0008465347,6.810067E-06,0.02687295
-0.0008466021,6.810067E-06,0.02687399
-0.0008466694,6.810068E-06,0.02687503
-0.0008467368,6.810068E-06,0.02687607
-0.0008468041,6.810068E-06,0.02687711
-0.0008468715,6.810068E-06,0.02687815
-0.0008469389,6.810068E-06,0.02687919
-0.0008470062,6.810069E-06,0.02688023
-0.0008470736,6.810069E-06,0.02688127
-0.0008471409,6.810069E-06,0.02688231
-0.0008472083,6.81007E-06,0.02688335
-0.0008472757,6.81007E-06,0.02688439
-0.000847343,6.81007E-06,0.02688543
-0.0008474104,6.810071E-06,0.02688647
-0.0008474777,6.810071E-06,0.02688751
-0.000847545,6.810071E-06,0.02688855
-0.0008476124,6.810072E-06,0.02688959
-0.0008476798,6.810072E-06,0.02689063
-0.0008477471,6.810072E-06,0.02689167
-0.0008478145,6.810073E-06,0.02689271
-0.0008478818,6.810073E-06,0.02689375
-0.0008479492,6.810073E-06,0.02689479
-0.0008480165,6.810074E-06,0.02689583
-0.0008480839,6.810074E-06,0.02689687
-0.0008481513,6.810074E-06,0.02689791
-0.0008482186,6.810074E-06,0.02689895
-0.000848286,6.810074E-06,0.02689999
-0.0008483533,6.810075E-06,0.02690103
-0.0008484207,6.810075E-06,0.02690206
-0.0008484881,6.810075E-06,0.0269031
-0.0008485554,6.810076E-06,0.02690415
-0.0008486228,6.810076E-06,0.02690518
-0.0008486901,6.810076E-06,0.02690622
-0.0008487575,6.810077E-06,0.02690726
-0.0008488248,6.810077E-06,0.0269083
-0.0008488922,6.810077E-06,0.02690934
-0.0008489595,6.810078E-06,0.02691038
-0.0008490269,6.810078E-06,0.02691142
-0.0008490942,6.810078E-06,0.02691246
-0.0008491616,6.810079E-06,0.0269135
-0.0008492289,6.810079E-06,0.02691454
-0.0008492963,6.810079E-06,0.02691558
-0.0008493637,6.810079E-06,0.02691662
-0.000849431,6.810079E-06,0.02691766
-0.0008494984,6.81008E-06,0.0269187
-0.0008495657,6.81008E-06,0.02691974
-0.0008496331,6.81008E-06,0.02692078
-0.0008497005,6.810081E-06,0.02692182
-0.0008497678,6.810081E-06,0.02692286
-0.0008498352,6.810081E-06,0.0269239
-0.0008499025,6.810082E-06,0.02692494
-0.0008499699,6.810082E-06,0.02692598
-0.0008500372,6.810082E-06,0.02692702
-0.0008501046,6.810083E-06,0.02692806
-0.000850172,6.810083E-06,0.0269291
-0.0008502393,6.810083E-06,0.02693014
-0.0008503066,6.810084E-06,0.02693118
-0.000850374,6.810084E-06,0.02693222
-0.0008504413,6.810084E-06,0.02693325
-0.0008505087,6.810084E-06,0.0269343
-0.0008505761,6.810085E-06,0.02693534
-0.0008506434,6.810085E-06,0.02693637
-0.0008507108,6.810085E-06,0.02693741
-0.0008507781,6.810085E-06,0.02693845
-0.0008508455,6.810086E-06,0.02693949
-0.0008509129,6.810086E-06,0.02694053
-0.0008509802,6.810086E-06,0.02694157
-0.0008510476,6.810087E-06,0.02694261
-0.0008511149,6.810087E-06,0.02694365
-0.0008511823,6.810087E-06,0.02694469
-0.0008512496,6.810088E-06,0.02694573
-0.000851317,6.810088E-06,0.02694677
-0.0008513844,6.810088E-06,0.02694781
-0.0008514517,6.810089E-06,0.02694885
-0.0008515191,6.810089E-06,0.02694989
-0.0008515864,6.810089E-06,0.02695093
-0.0008516537,6.810089E-06,0.02695197
-0.0008517212,6.81009E-06,0.02695301
-0.0008517885,6.81009E-06,0.02695405
-0.0008518558,6.81009E-06,0.02695509
-0.0008519232,6.810091E-06,0.02695613
-0.0008519905,6.810091E-06,0.02695717
-0.0008520579,6.810091E-06,0.02695821
